Conversation ID,Are you 21 years or older?,The robot was able to understand the question I asked,I feel satisfied with the answer provided as it properly addressed my question,The robot was able to understand the tone of what I had asked to it (positive or negative),I feel the robot responded to question in a way that matched the intended meaning of my question,The robot was able to answer my question well even when I asked an indirect or vague question,I feel that the robot’s response was relevant to the question I had asked even when I had asked random questions,Overall satisfaction about the interaction with the robot
Test,Yes,5,5,5,5,5,5,Very Satisfied
test,Yes,3,2,1,2,1,4,Neutral
test,Yes,5,5,5,5,5,5,Excellent
Test,Yes,5,5,5,5,5,5,Excellent
Test,Yes,5,5,5,5,5,5,Excellent
Test,Yes,5,5,5,5,5,5,Excellent
15.09.09.55,Yes,5,5,5,5,5,5,Excellent
15.09.12.26,Yes,5,4,5,5,4,4,Great
15.09.13.09,Yes,4,5,5,4,5,5,Excellent
15.09.13.11,Yes,4,4,5,5,5,5,Excellent
15.09.13.27,Yes,5,5,5,5,5,5,Excellent
15.09.14.01,Yes,3,3,4,3,2,4,Good
15.09.14.17,Yes,4,4,4,4,4,4,Excellent
15.09.14.27 + 15.09.14.28,Yes,5,4,4,4,4,4,Good
15.09.14.32,Yes,5,5,5,5,5,5,Great
15.09.14.50,Yes,5,5,5,5,5,5,Excellent
15.09.14.55,Yes,4,5,5,4,4,3,Great
15.09.15.08,Yes,5,5,5,5,5,5,Excellent
15.09.15.13,Yes,5,5,5,5,5,5,Excellent
15.09.15.28,Yes,5,5,5,5,5,5,Excellent
15.09.15.34,Yes,5,5,5,5,3,3,Excellent
15.09.15.44,Yes,5,5,4,5,5,5,Good
15.09.15.46,Yes,4,4,4,4,3,4,Great
15.09.16.16,Yes,3,2,3,3,2,3,Good
15.09.16.20,Yes,4,3,5,4,3,3,Great
15.09.16.22,Yes,5,5,5,5,5,5,Excellent
15.09.17.47,Yes,5,5,5,5,5,5,Excellent
15.09.18.01,Yes,5,5,5,5,5,5,Great
15.09.17.51,Yes,5,4,4,5,5,4,Excellent
16.09.11.30,Yes,4,3,4,4,3,4,Great
16.09.12.45,Yes,5,4,5,4,4,5,Great
16.09.12.51,Yes,5,5,5,5,5,5,Excellent
16.09.13.05,Yes,5,4,5,5,5,5,Excellent
16.09.13.32,Yes,5,5,5,5,5,5,Excellent
16.09.14.04,Yes,4,3,4,4,4,4,Great
16.09.14.08,Yes,5,4,5,4,5,5,Great
16.09.14.19,Yes,2,2,2,2,2,2,Average
16.09.14.26,Yes,5,4,5,5,5,4,Excellent
16.09.14.41,Yes,5,5,5,5,4,5,Excellent
16.09.15.01,Yes,5,5,5,5,5,5,Excellent
16.09.15.10,Yes,4,4,5,5,4,4,Great
16.09.15.15,Yes,5,5,5,5,5,5,Excellent
16.09.15.22,Yes,5,3,5,4,5,4,Good
16.09.15.27 + 16.09.15.28,Yes,4,5,3,5,2,5,Good
16.09.15.33,Yes,2,3,2,2,2,3,Good
16.09.15.40,Yes,5,5,5,5,4,4,Great
16.09.15.43+ 16.09.15.44,Yes,5,5,5,5,5,5,Excellent
16.09.15.52,Yes,5,5,5,5,5,5,Excellent
16.09.16.00,Yes,5,4,4,4,5,5,Great
16.09.16.11,Yes,5,5,5,5,5,5,Excellent
16.09.16.17,Yes,5,4,4,4,4,4,Excellent
16.09.16.37,Yes,2,4,1,3,3,3,Good
16.09.16.41,Yes,5,5,5,5,5,5,Excellent
16.09.16.47,Yes,5,5,5,5,5,5,Excellent
16.09.17.07,Yes,5,4,4,5,3,5,Great
16.09.17.22,Yes,3,2,4,3,5,3,Good
16.09.17.25,Yes,4,4,5,4,4,5,Good
16.09.17.36,Yes,5,5,5,5,5,5,Excellent
16.09.17.42,Yes,5,5,5,5,5,5,Excellent
16.09.17.45,Yes,4,4,4,5,5,4,Excellent
16.09.17.57,Yes,5,5,5,5,5,5,Excellent
16.09.18.02,Yes,4,4,5,4,4,5,Great
17.09.09.18,Yes,4,5,3,4,2,4,Great
17.09.09.48,Yes,5,5,5,5,5,5,Excellent
17.09.11.50,Yes,3,3,3,3,3,3,Good
17.09.11.53,Yes,5,5,4,5,5,5,Excellent
17.09.12.32,Yes,5,5,5,5,5,5,Excellent
17.09.13.04,Yes,5,5,4,4,5,4,Great
17.09.13.09,Yes,5,5,5,5,5,5,Excellent
17.09.13.16,Yes,5,5,5,5,5,5,Excellent
17.09.13.25,Yes,5,5,5,5,5,5,Excellent
17.09.13.32,Yes,5,5,5,5,5,5,Excellent
17.09.13.40,Yes,3,2,2,3,5,3,Average
17.09.13.46,Yes,5,5,5,5,5,5,Excellent
17.09.14.12,Yes,5,5,5,5,5,5,Excellent
17.09.14.48,Yes,4,4,4,4,4,4,Great
17.09.14.52,Yes,5,5,5,5,5,5,Excellent
17.09.15.55,No,5,5,5,5,5,5,Excellent
17.09.16.35,Yes,5,4,5,5,5,5,Excellent
17.09.17.24,No,3,3,4,3,3,3,Good
17.09.17.32 + 17.09.17.33,Yes,4,3,3,3,3,3,Good
